original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
Marci X,84.0,2003,32539810,2726357
Agent Cody Banks,102.0,2003,45555734,95660230
Tears of the Sun,121.0,2003,113889335,139323195
The Dreamers,115.0,2003,24404857,24601991
Open Range,139.0,2003,35793791,111117420
Freddy vs. Jason,97.0,2003,48809715,186955575
S.W.A.T.,117.0,2003,130159240,189777616
Freaky Friday,97.0,2003,42301753,179343703
Gigli,121.0,2003,87857487,11822053
American Wedding,103.0,2003,89484477,376565655
Lara Croft Tomb Raider: The Cradle of Life,117.0,2003,154564097,254632779
Spy Kids 3-D: Game Over,84.0,2003,61825639,320536623
Thirteen,100.0,2003,3253981,7485853
Uptown Girls,92.0,2003,32539810,60354281
The Texas Chainsaw Massacre,98.0,2003,15456409,174204565
Timeline,116.0,2003,130159240,71483069
Big Fish,125.0,2003,113889335,199988135
Runaway Jury,127.0,2003,97619430,130410024
The Mudge Boy,94.0,2003,1301592,102259
Kill Bill: Vol. 1,111.0,2003,48809715,294402304
Intolerable Cruelty,100.0,2003,97619430,195142566
House of the Dead,90.0,2003,11388933,22482049
Pieces of April,81.0,2003,488097,5323558
The Rundown,104.0,2003,138294192,131650363
Mystic River,138.0,2003,40674762,255147937
School of Rock,108.0,2003,56944667,213596111
Out of Time,105.0,2003,81349525,90290753
Les triplettes de Belleville,80.0,2003,13015924,2404164
Mambo Italiano,92.0,2003,7096766,4932711
Wonderland,104.0,2003,8134952,4012880
Sylvia,109.0,2003,11388933,16269905
Brother Bear,85.0,2003,162699050,407394839
Veronica Guerin,98.0,2003,27658838,2554241
The Mother,112.0,2003,4067476,1728275
Tarnation,91.0,2003,354,1890585
Young Adam,93.0,2003,10412739,4067476
"Good bye, Lenin!",121.0,2003,7809554,129158445
Tere Naam,132.0,2003,1,3
Cowboys & Angels,89.0,2003,3253981,54829
Saamy,140.0,2003,1,4
Бумер,110.0,2003,1138893,2603184
The Visual Bible: The Gospel of John,125.0,2003,16269905,6620370
Fat Pizza,96.0,2003,650796,12833867
올드보이,120.0,2003,4880971,24372325
"The Book of Mormon Movie, Volume 1: The Journey",120.0,2003,3253981,2721515
Foolproof,97.0,2003,13432871,750006
Bringing Down the House,105.0,2003,32539810,215861618
Under the Tuscan Sun,113.0,2003,29285829,95795123
Scary Movie 3,84.0,2003,78095544,359033228
Les Invasions barbares,99.0,2003,13015924,5584387
In the Cut,119.0,2003,19523886,37
Radio,109.0,2003,52063696,85054971
"The Tulse Luper Suitcases, Part 1: The Moab Story",127.0,2003,16269905,41976
House of Sand and Fog,126.0,2003,26845343,27565766
Calendar Girls,108.0,2003,16269905,157073013
Mona Lisa Smile,117.0,2003,105754382,229955565
The Lord of the Rings: The Return of the King,201.0,2003,152937107,1820421742
Stuck on You,118.0,2003,89484477,55038352
Something's Gotta Give,128.0,2003,130159240,433965123
The Last Samurai,154.0,2003,227778670,743142524
Elf,97.0,2003,52063696,282117741
Love Actually,135.0,2003,65079620,398501657
Looney Tunes: Back in Action,90.0,2003,130159240,111473000
Master and Commander: The Far Side of the World,138.0,2003,244048575,344940064
Tupac: Resurrection,112.0,2003,488097,12704394
Duplex,89.0,2003,65079620,31436930
The Order,102.0,2003,56944667,18809321
Paycheck,119.0,2003,97619430,156630069
Monster,110.0,2003,13015924,98235382
Cheaper by the Dozen,98.0,2003,65079620,309473301
Lost in Translation,102.0,2003,6507962,194789576
The Matrix Revolutions,129.0,2003,244048575,691451783
Cold Mountain,154.0,2003,128532249,281491335
Matchstick Men,116.0,2003,100873411,106674725
Underworld,121.0,2003,35793791,155716750
Cabin Fever,93.0,2003,2440485,49710081
The Fighting Temptations,122.0,2003,24404857,49197877
The Station Agent,88.0,2003,813495,14121974
Once Upon a Time in Mexico,102.0,2003,47182724,159747009
Taxi 3,82.0,2003,23591362,106563335
Shattered Glass,94.0,2003,9761943,4791083
Elephant,81.0,2003,4880971,16289464
Latter Days,107.0,2003,1382941,1334032
The Company,112.0,2003,24404857,3712117
Peter Pan,113.0,2003,162699050,198452184
Dogville,178.0,2003,16269905,27139561
The Human Stain,106.0,2003,48809715,31530078
Gothika,98.0,2003,65079620,230367739
Intermission,105.0,2003,8134952,7901150
The Whole Ten Yards,98.0,2004,63635044,41610606
Walking Tall,86.0,2004,89089061,91036119
Connie and Carla,98.0,2004,31817522,18042151
アップルシード,101.0,2004,15908761,2325843
Ella Enchanted,96.0,2004,49317159,43572134
Kill Bill: Vol. 2,136.0,2004,47726283,242066850
The Punisher,124.0,2004,52498911,87021089
Club Dread,104.0,2004,13522446,7957013
Never Die Alone,88.0,2004,4772628,9422759
Home on the Range,76.0,2004,174996371,165373895
The Work and the Glory,110.0,2004,11931570,5325691
Jersey Girl,102.0,2004,55680663,57428053
Woman Thou Art Loosed,94.0,2004,4772628,10824346
Dirty Dancing: Havana Nights,86.0,2004,39771902,44043430
Twisted,97.0,2004,79543805,40082123
13 Going on 30,98.0,2004,58862415,153449063
Garfield,80.0,2004,79543805,319455134
Starsky & Hutch,101.0,2004,95452566,270876485
ハウルの動く城,119.0,2004,38181026,373395254
RRRrrrr!!!,94.0,2004,28349412,22358747
Alexander,175.0,2004,246585796,266150695
Hidalgo,136.0,2004,159087610,171979195
Godsend,102.0,2004,39771902,47908417
First Daughter,105.0,2004,47726283,16545111
The Forgotten,91.0,2004,66816796,187048269
A Dirty Shame,89.0,2004,23863141,3045200
Shark Tale,90.0,2004,119315707,584289051
Ladder 49,115.0,2004,95452566,118586620
Taxi,97.0,2004,39771902,58241920
Primer,77.0,2004,11136,675740
Wimbledon,98.0,2004,49317159,66040459
Stateside,97.0,2004,25454017,277318
Team America: World Police,98.0,2004,50908035,80987401
Blade: Trinity,123.0,2004,103406946,205072466
Ocean's Twelve,125.0,2004,174996371,577081206
Raise Your Voice,103.0,2004,23863141,23652372
The Stepford Wives,93.0,2004,143178849,162269362
Fahrenheit 9/11,122.0,2004,9545256,189496438
The Chronicles of Riddick,119.0,2004,167041990,184180074
Hellboy,122.0,2004,104997822,158004203
Shall We Dance?,107.0,2004,79543805,270653301
Shaun of the Dead,99.0,2004,6363504,47788950
Алеша Попович и Тугарин Змей,72.0,2004,6363504,2752215
Laws of Attraction,90.0,2004,44544530,47751999
The Girl Next Door,108.0,2004,39771902,48380424
Harry Potter and the Prisoner of Azkaban,141.0,2004,206813893,1256481191
Van Helsing,132.0,2004,254540176,477672442
Shrek 2,93.0,2004,238631415,1463349499
Riding Giants,105.0,2004,4136277,5036713
Mindhunters,106.0,2004,42953654,33645166
The Phantom of the Opera,143.0,2004,111361327,246027218
The Aviator,170.0,2004,184541628,162269362
The Life Aquatic with Steve Zissou,119.0,2004,79543805,55375856
Born into Brothels,85.0,2004,556806,5592026
Meet the Fockers,115.0,2004,127270088,821914906
キャシャーン,141.0,2004,9545256,2434384
2046,129.0,2004,19090513,30658269
Million Dollar Baby,132.0,2004,47726283,344844104
Spanglish,130.0,2004,127270088,87563995
Sky Captain and the World of Tomorrow,107.0,2004,111361327,92205104
Closer,104.0,2004,42953654,183754187
Hotel Rwanda,121.0,2004,27840331,60453291
Mickey,90.0,2004,9545256,467388
Troy,163.0,2004,278403318,791317447
She Hate Me,138.0,2004,12727008,580882
Mean Girls,97.0,2004,27044893,205291219
Agent Cody Banks 2: Destination London,100.0,2004,41362778,45847450
The Day After Tomorrow,124.0,2004,198859513,865869958
Aitraaz,159.0,2004,5568066,14715603
Spartan,102.0,2004,30624365,12906319
功夫,99.0,2004,31817522,160542379
Dawn of the Dead,101.0,2004,44544530,162836320
Eternal Sunshine of the Spotless Mind,108.0,2004,31817522,114953725
Ночной дозор,114.0,2004,6681679,50908035
Secret Window,96.0,2004,63635044,147813343
Envy,99.0,2004,63635044,23197781
Johnson Family Vacation,97.0,2004,19090513,49602746
Country of My Skull,103.0,2004,19090513,260165
Raising Helen,119.0,2004,79543805,79096150
Soul Plane,86.0,2004,25454017,23580516
Open Water,79.0,2004,206813,86969941
Lemony Snicket's A Series of Unfortunate Events,108.0,2004,222722654,332610265
Layer Cake,105.0,2004,10340694,18852222
Mar adentro,125.0,2004,20372759,61304762
Flight of the Phoenix,113.0,2004,71589424,33423002
Man on Fire,146.0,2004,111361327,207281156
Mean Creek,90.0,2004,795438,960798
Taking Lives,103.0,2004,71589424,104155500
Win a Date with Tad Hamilton!,95.0,2004,27044893,27013232
The Alamo,137.0,2004,230677035,41076358
Seed of Chucky,87.0,2004,19090513,39500887
Banlieue 13,84.0,2004,19090513,15247164
Torque,84.0,2004,63635044,74049232
Confessions of a Teenage Drama Queen,89.0,2004,23863141,46662095
The Passion of the Christ,127.0,2004,47726283,973456165
The Village,108.0,2004,95452566,408373950
Garden State,102.0,2004,3977190,42606403
Il cartaio,103.0,2004,4136277,2352972
Collateral,120.0,2004,103406946,346436006
Populärmusik från Vittula,100.0,2004,3538108,44544530
Harold & Kumar Go to White Castle,88.0,2004,14317884,38080654
AVP: Alien vs. Predator,101.0,2004,111361327,272332317
Thunderbirds,95.0,2004,90679937,44995762
Yu-Gi-Oh! The Movie,90.0,2004,31817522,46406508
Without a Paddle,95.0,2004,30226645,110774481
Exorcist: The Beginning,114.0,2004,127270088,124089268
Anacondas: The Hunt for the Blood Orchid,97.0,2004,31817522,112940904
Little Black Book,111.0,2004,55680663,35054687
Dhoom,124.0,2004,2386314,19090513
The Princess Diaries 2: Royal Engagement,113.0,2004,63635044,151370962
Vanity Fair,141.0,2004,36590150,25651049
Barbershop 2:  Back in Business,106.0,2004,28635769,103518963
Vizontele Tuuba,111.0,2004,4772628,22199842
Welcome to Mooseport,110.0,2004,47726283,22272265
50 First Dates,99.0,2004,119315707,312579921
Friday Night Lights,118.0,2004,47726283,97450580
Catch That Kid,92.0,2004,28635769,26572187
Napola – Elite für den Führer,117.0,2004,7158942,5988406
Miracle,135.0,2004,44544530,102525136
Crash,112.0,2004,10340694,156558214
Garv: Pride and Honour,162.0,2004,2068138,17499637
The Butterfly Effect,113.0,2004,20681389,152820923
It's All Gone Pete Tong,90.0,2004,3181752,191891
Teacher's Pet,74.0,2004,15908761,10327918
Along Came Polly,90.0,2004,66816796,273572441
Chasing Liberty,111.0,2004,36590150,19
9 Songs,66.0,2004,1590876,2505030
Voditel dlya Very,105.0,2004,5249891,3200583
The Heart is Deceitful Above All Things,98.0,2004,117804,280237
The Big Bounce,88.0,2004,79543805,10831559
Suspect Zero,99.0,2004,42953654,20681389
Surviving Christmas,91.0,2004,71589424,23534822
Against the Ropes,106.0,2004,62044168,10522499
Spider-Man 2,127.0,2004,318175220,1246875143
Narco,105.0,2004,1309701,1309701
Wicker Park,114.0,2004,47726283,20683389
Mr. 3000,104.0,2004,47726283,34681579
National Treasure,131.0,2004,159087610,552752915
Veer-Zaara,192.0,2004,11136132,46748403
Finding Neverland,106.0,2004,39771902,185761123
Bridget Jones: The Edge of Reason,108.0,2004,79543805,63958023
After the Sunset,97.0,2004,95452566,97596744
The Polar Express,100.0,2004,262494557,486610389
The Incredibles,115.0,2004,146360601,1004546135
Ray,152.0,2004,63635044,198432416
Saw,103.0,2004,1909051,165310591
Vera Drake,125.0,2004,17499637,20588827
The Machinist,101.0,2004,7954380,13050330
Sideways,126.0,2004,25454017,174204597
Alfie,103.0,2004,95452566,21311279
The Grudge,92.0,2004,15908761,291885360
Birth,100.0,2004,31817522,38062493
The Cookout,97.0,2004,25454017,19
Napoleon Dynamite,95.0,2004,636350,73368178
Cellular,94.0,2004,39771902,89761504
EuroTrip,93.0,2004,39771902,33085206
The Bourne Supremacy,108.0,2004,119315707,458968101
La mala educación,106.0,2004,7954380,64059779
Paparazzi,84.0,2004,31817522,26417711
The Manchurian Candidate,129.0,2004,127270088,152892681
Catwoman,104.0,2004,159087610,130614712
Super Size Me,100.0,2004,103406,45459408
Around the World in 80 Days,120.0,2004,174996371,114827679
The Terminal,128.0,2004,95452566,349065667
White Chicks,109.0,2004,58862415,179906570
Deux frères,109.0,2004,118520269,98908028
DodgeBall: A True Underdog Story,92.0,2004,31817522,266825415
De-Lovely,125.0,2004,31817522,29266364
Before Sunset,80.0,2004,4295365,25442269
The Notebook,123.0,2004,46135407,183910414
Anchorman: The Legend of Ron Burgundy,94.0,2004,41362778,144092311
A Cinderella Story,95.0,2004,30226645,111469362
The SpongeBob SquarePants Movie,87.0,2004,47726283,222980045
A Home at the End of the World,96.0,2004,10340694,2464195
"I, Robot",115.0,2004,190905132,552407730
Resident Evil: Apocalypse,94.0,2004,71589424,205851151
Der Untergang,156.0,2004,29176270,146648406
King Arthur,126.0,2004,190905132,323851239
We Don't Live Here Anymore,101.0,2004,4772628,3241481
The Legend of Zorro,129.0,2005,116204634,220633967
Saw II,92.0,2005,6197580,236941394
Stay,99.0,2005,77469756,12925258
Manderlay,139.0,2005,22001410,1045714
The 40 Year Old Virgin,116.0,2005,40284273,169580114
Jarhead,125.0,2005,111556449,150120890
The Weather Man,101.0,2005,30987902,19340750
Where the Truth Lies,107.0,2005,38734878,5388297
L'Empire des loups,128.0,2005,37185483,18400408
The Producers,134.0,2005,69722780,58967398
Joyeux Noël,116.0,2005,34086692,27438478
The Proposition,104.0,2005,3098790,7822420
Pride & Prejudice,135.0,2005,43383063,187706039
"Good Night, and Good Luck.",93.0,2005,10845765,84596974
Wolf Creek,99.0,2005,1549395,43015311
Walk the Line,136.0,2005,43383063,288867497
Munich,164.0,2005,108457659,201977461
The Three Burials of Melquiades Estrada,121.0,2005,23240926,18648750
A Lot Like Love,107.0,2005,46481853,66448473
Chicken Little,81.0,2005,232409269,487180439
The Fog,100.0,2005,27889112,71584273
The Jacket,103.0,2005,44932458,32732870
The World's Fastest Indian,127.0,2005,38734878,28350506
Derailed,108.0,2005,34086692,89057800
Mirrormask,101.0,2005,6197580,1343324
The Amityville Horror,90.0,2005,29438507,167407698
The Hitchhiker's Guide to the Galaxy,109.0,2005,77469756,161878348
Fever Pitch,103.0,2005,46481853,78169009
Sahara,124.0,2005,201421366,184795560
Beauty Shop,105.0,2005,38734878,56322604
Sin City,124.0,2005,61975805,245941407
Guess Who,105.0,2005,54228829,106777941
Hostel,94.0,2005,7437096,124848607
Ice Princess,98.0,2005,38734878,42833789
Robots,91.0,2005,116204634,403922652
Hostage,113.0,2005,80568546,120767177
Be Cool,118.0,2005,82117941,147542880
The Pacifier,95.0,2005,86766127,175092309
The Ballad of Jack and Rose,111.0,2005,2324092,1103624
Duma,100.0,2005,18592741,1541322
Nanny McPhee,97.0,2005,38734878,189785133
Red Eye,85.0,2005,40284273,89697277
Syriana,128.0,2005,77469756,145643142
Mozart and the Whale,92.0,2005,18592741,131647
Thank You for Smoking,92.0,2005,10071068,38414942
Shopgirl,104.0,2005,15934789,17954708
Get Rich or Die Tryin',117.0,2005,61975805,71957826
Goal!: The Dream Begins,118.0,2005,46481853,42780152
King Kong,187.0,2005,320724791,852167321
Everything is Illuminated,106.0,2005,10845765,4180159
The Constant Gardener,129.0,2005,38734878,127773456
Undiscovered,97.0,2005,13944556,1620924
The Cave,97.0,2005,46481853,23253308
The Brothers Grimm,118.0,2005,136346771,163176511
Valiant,76.0,2005,54228829,30179282
Lord of War,122.0,2005,65074595,37383642
Oliver Twist,130.0,2005,77469756,65219783
Into the Blue,110.0,2005,77469756,68846503
Transporter 2,87.0,2005,49580644,131958325
Corpse Bride,77.0,2005,61975805,181581456
The Squid and the Whale,81.0,2005,2324092,17195390
The Curse of the Were-Rabbit,85.0,2005,46481853,298185480
Capote,114.0,2005,10845765,76051796
A Sound of Thunder,110.0,2005,123951610,9280319
The Greatest Game Ever Played,120.0,2005,38734878,23908990
xXx: State of the Union,101.0,2005,92963707,110121604
Kiss Kiss Bang Bang,103.0,2005,23240926,24457431
Domino,127.0,2005,77469756,35550099
Tamara,98.0,2005,7359626,320524
Two for the Money,122.0,2005,54228829,47297624
Just Like Heaven,95.0,2005,89864917,159362154
Cry_Wolf,90.0,2005,1549395,15567817
North Country,126.0,2005,54228829,39082317
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143.0,2005,278891123,1160197851
Match Point,124.0,2005,23240926,132173280
"Yours, Mine & Ours",90.0,2005,69722780,111600997
Bee Season,104.0,2005,21691531,10624185
Zathura: A Space Adventure,101.0,2005,100710683,99659420
Cheaper by the Dozen 2,94.0,2005,92963707,200153698
Rent,135.0,2005,61975805,49070304
Harry Potter and the Goblet of Fire,157.0,2005,232409269,1388135689
Rumor Has It...,97.0,2005,108457659,137793227
Are We There Yet?,95.0,2005,49580644,151714699
Flightplan,98.0,2005,85216732,346115193
The Exorcism of Emily Rose,122.0,2005,29438507,223448293
An Unfinished Life,108.0,2005,46481853,28847078
Æon Flux,93.0,2005,96062498,81039564
Waiting...,94.0,2005,4648185,28877146
Elizabethtown,123.0,2005,88315522,80622603
Doom,105.0,2005,92963707,86746482
The Matador,96.0,2005,15493951,26800265
Transamerica,103.0,2005,1549395,20684996
Brokeback Mountain,134.0,2005,21691531,275860136
Memoirs of a Geisha,145.0,2005,131698585,251378455
Proof,100.0,2005,30987902,11675205
Cursed,97.0,2005,54228829,29895425
BloodRayne,95.0,2005,38734878,3726946
The Wedding Date,88.0,2005,23240926,73092774
Sarkar,123.0,2005,2943850,9141431
9 рота,139.0,2005,14719253,37185483
Tau man ji D,107.0,2005,2400013,10994507
The Work and the Glory II: American Zion,100.0,2005,10071068,3137574
Tsotsi,94.0,2005,4648185,15307978
A History of Violence,96.0,2005,49580644,94111541
Boogeyman,89.0,2005,30987902,104108288
Land of the Dead,93.0,2005,23240926,72466142
Herbie Fully Loaded,101.0,2005,77469756,102263183
Batman Begins,140.0,2005,232409269,579812589
The Adventures of Sharkboy and Lavagirl,92.0,2005,77469756,107568253
Mr. & Mrs. Smith,120.0,2005,170433464,740932402
Lords of Dogtown,107.0,2005,38734878,20780420
The Sisterhood of the Traveling Pants,119.0,2005,38734878,60508622
Cinderella Man,144.0,2005,136346771,168171209
The Longest Yard,113.0,2005,127050400,294881761
Dominion: Prequel to the Exorcist,117.0,2005,46481853,389665
Madagascar,86.0,2005,116204634,825332837
Slow Burn,93.0,2005,24015624,1917554
Monster-in-Law,101.0,2005,66623990,239768769
The Derby Stallion,98.0,2005,1162046,6197580
Kicking & Screaming,95.0,2005,69722780,86875255
Tideland,120.0,2005,18592741,877904
Maurice Richard,124.0,2005,12395161,3128242
ต้มยำกุ้ง,108.0,2005,9296370,42090218
Bewitched,102.0,2005,131698585,203631066
Chaos,106.0,2005,30987902,15941
Hard Candy,103.0,2005,1471925,10880176
Batalla en el cielo,96.0,2005,2481808,392813
Down in the Valley,112.0,2005,12395161,1321435
The Secret Life of Words,112.0,2005,7746975,9931712
The Lost City,144.0,2005,14874193,6796012
Bluffmaster!,137.0,2005,2824782,11051962
Brick,110.0,2005,735962,6072473
Twelve and Holding,90.0,2005,619758,148256
Standing Still,90.0,2005,2633971,19773
Бой с Тенью,126.0,2005,5422882,12802393
FC Venus,107.0,2005,3403294,3736511
The Quiet,96.0,2005,1394455,590970
웰컴 투 동막골,133.0,2005,12,52028398
Shabd,0.0,2005,3873487,4803124
Four Eyed Monsters,71.0,2005,387348,379601
Космос как предчувствие,90.0,2005,3098790,1079434
Cruel World,88.0,2005,3098790,25323
The Magic Roundabout,85.0,2005,30987902,41355281
Mrs Palfrey at The Claremont,108.0,2005,1162046,2666436
Harsh Times,120.0,2005,3098790,9245299
The Island,136.0,2005,195223786,252472641
The Great Raid,132.0,2005,123951610,15751928
Fantastic Four,106.0,2005,154939512,512198606
The Interpreter,128.0,2005,123951610,252466070
千里走单骑,107.0,2005,11620463,5813834
The Ring Two,110.0,2005,77469756,250152226
Constantine,121.0,2005,154939512,357731672
Charlie and the Chocolate Factory,115.0,2005,232409269,735914287
Inside Deep Throat,92.0,2005,3098790,1012717
Keeping Mum,103.0,2005,261847,28764058
Man of the House,100.0,2005,61975805,33432265
Hide and Seek,101.0,2005,38734878,190025286
Because of Winn-Dixie,106.0,2005,21691531,50580849
Alone in the Dark,96.0,2005,30987902,16180035
Racing Stripes,102.0,2005,46481853,145290688
Coach Carter,136.0,2005,46481853,118791823
Assault on Precinct 13,109.0,2005,46481853,54685079
Star Wars: Episode III - Revenge of the Sith,140.0,2005,175081649,1316985859
Hoodwinked!,80.0,2005,23240926,79102488
Assisted Living,78.0,2005,774,63
Stealth,121.0,2005,209168342,119199527
The New World,135.0,2005,46481853,47312349
Unleashed,103.0,2005,69722780,78819454
Elektra,97.0,2005,66623990,87822142
Kingdom of Heaven,144.0,2005,201421366,327918878
White Noise,101.0,2005,15493951,141299287
Murderball,88.0,2005,464818,2711768
La Marche de l'empereur,80.0,2005,12395161,197380914
Rebound,103.0,2005,69722780,26043804
Hitch,118.0,2005,108457659,570332997
Dark Water,105.0,2005,46481853,39467886
Four Brothers,109.0,2005,69722780,143124869
Dave Chappelle's Block Party,100.0,2005,4648185,18156734
Deuce Bigalow: European Gigolo,83.0,2005,34086692,34706689
The Dukes of Hazzard,104.0,2005,77469756,171678675
War of the Worlds,116.0,2005,204520157,916838111
The Skeleton Key,104.0,2005,66623990,142505335
Serenity,119.0,2005,60426410,60224158
Man-Thing,97.0,2005,11620463,221563
House of Wax,113.0,2005,61975805,106545892
Must Love Dogs,98.0,2005,46481853,90492907
Sky High,100.0,2005,54228829,133820970
Bad News Bears,113.0,2005,46481853,53071194
Romanzo criminale,152.0,2005,1268052,7516493
Hustle & Flow,116.0,2005,12395161,36509523
Les Poupées Russes,129.0,2005,20142136,36762964
Wedding Crashers,119.0,2005,61975805,441851453
Broken Flowers,105.0,2005,15493951,70872588
Fun with Dick and Jane,90.0,2005,154939512,313018273
The Holiday,136.0,2006,127377006,290972091
Eragon,104.0,2006,149855301,373571442
Another Gay Movie,92.0,2006,749276,1116912
Blood Diamond,143.0,2006,149855301,256069616
Snow Cake,112.0,2006,17982636,2070498
Fur: An Imaginary Portrait of Diane Arbus,122.0,2006,25175690,3418332
Final Destination 3,93.0,2006,37463825,176408399
Unaccompanied Minors,90.0,2006,38962378,32959495
The Lake House,99.0,2006,59942120,172079009
The Good Shepherd,167.0,2006,127377006,89776160
We Are Marshall,124.0,2006,97405946,65255036
Black Snake Moan,116.0,2006,22478295,16339991
Dreamgirls,134.0,2006,104898711,232182328
The Good German,108.0,2006,47953696,8863803
Letters from Iwo Jima,141.0,2006,28472507,102910473
Black Christmas,84.0,2006,13486977,32235150
Happily N'Ever After,75.0,2006,70431991,57073557
Kidulthood,89.0,2006,1489561,247261
कभी अलविदा ना कहना,193.0,2006,11089292,25475401
Trailer Park Boys: The Movie,95.0,2006,7492765,5744713
Unknown,98.0,2006,5544646,5002511
Déjà Vu,126.0,2006,112391476,270575061
Tenacious D in The Pick of Destiny,93.0,2006,32968166,20088994
Let's Go to Prison,84.0,2006,5994212,6938367
Happy Feet,108.0,2006,149855301,575947285
The History Boys,109.0,2006,5994212,20083535
Nacho Libre,92.0,2006,47953696,120180944
Underworld: Evolution,106.0,2006,74927650,166850093
Flags of Our Fathers,132.0,2006,134869771,98755017
16 Blocks,105.0,2006,82420416,98402065
Pirates of the Caribbean: Dead Man's Chest,151.0,2006,299710603,1596947728
The Devil Wears Prada,109.0,2006,52449355,489354127
Click,107.0,2006,123630624,356178028
The Omen,110.0,2006,37463825,178610037
Running Scared,122.0,2006,25475401,14236253
Madea's Family Reunion,110.0,2006,8991318,85764473
Cars,117.0,2006,179826362,692306242
American Dreamz,107.0,2006,25475401,10960457
Notes on a Scandal,92.0,2006,22478295,74133273
DOA: Dead or Alive,87.0,2006,31469613,719775
Indigènes,128.0,2006,21729018,34412323
Over the Hedge,83.0,2006,119884241,514598981
United 93,111.0,2006,22478295,114318759
RV,99.0,2006,74927650,131165607
Mission: Impossible III,126.0,2006,224782952,596199336
Pulse,90.0,2006,56945014,44818251
The Break-Up,106.0,2006,77924756,307202898
La science des rêves,105.0,2006,8991318,14272728
Accepted,93.0,2006,34466719,57701797
The Black Dahlia,121.0,2006,74927650,73595740
X-Men: The Last Stand,104.0,2006,314696133,688374647
The Da Vinci Code,149.0,2006,187319127,1150619666
Ultraviolet,87.0,2006,44956590,46560358
Charlotte's Web,97.0,2006,127377006,215791634
Flicka,95.0,2006,22478295,31469613
"Paris, je t'aime",120.0,2006,19481189,7279021
El laberinto del fauno,118.0,2006,28472507,124766865
Big Momma's House 2,99.0,2006,59942120,207188534
Facing the Giants,111.0,2006,149855,15252768
Flyboys,140.0,2006,89913181,26674243
Bandidas,93.0,2006,52449355,15729287
Gridiron Gang,125.0,2006,44956590,62161254
Perfume: The Story of a Murderer,147.0,2006,74927650,198079222
A Good Year,118.0,2006,52449355,63035291
Conversations with Other Women,84.0,2006,674348,1458878
Flushed Away,85.0,2006,223284399,96595702
The Return,85.0,2006,22478295,17970668
Employee of the Month,103.0,2006,17982636,57497844
The Guardian,139.0,2006,104898711,82437997
The Last King of Scotland,121.0,2006,8991318,71972459
Death of a President,97.0,2006,2997106,250258
Failure to Launch,97.0,2006,74927650,192424528
The Santa Clause 3: The Escape Clause,98.0,2006,17982636,126627912
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,82.0,2006,26973954,391980625
Children of Men,109.0,2006,113890029,104838396
Apocalypto,139.0,2006,59942120,180089043
The Prestige,130.0,2006,59942120,164355766
Saw III,108.0,2006,14985530,245578095
Shortbus,101.0,2006,2997106,7761061
For Your Consideration,86.0,2006,17982636,8305018
Annapolis,108.0,2006,38962378,26220170
School for Scoundrels,100.0,2006,29971060,26685586
It's a Boy Girl Thing,95.0,2006,23227571,11067464
Running with Scissors,116.0,2006,17982636,10122572
Mechenosets,0.0,2006,7492765,5873924
A Scanner Darkly,100.0,2006,13037411,11478793
Smokin' Aces,109.0,2006,25475401,85573214
Catch and Release,111.0,2006,37463825,24214349
Fanaa,168.0,2006,7942331,33231773
Loving Annabelle,76.0,2006,1348697,6293922
Arthur et les Minimoys,94.0,2006,128875559,161760160
Miss Potter,92.0,2006,44956590,52566603
Home of the Brave,106.0,2006,17982636,748707
Stormbreaker,93.0,2006,59942120,35872167
Casino Royale,144.0,2006,224782952,897702131
The Fountain,96.0,2006,52449355,22935189
Waltzing Anna,108.0,2006,1498553,17165
Open Season,83.0,2006,127377006,295678038
Little Children,136.0,2006,38962378,22211040
One Night with the King,123.0,2006,29971060,20067384
Jackass Number Two,95.0,2006,16484083,109062758
All the King's Men,125.0,2006,82420416,14162670
Infamous,110.0,2006,19481189,1725329
The Marine,92.0,2006,29971060,33216338
Man of the Year,115.0,2006,29971060,61796801
The Grudge 2,102.0,2006,29971060,58659118
The Astronaut Farmer,104.0,2006,19481189,16680227
Rocky Balboa,102.0,2006,35965272,233356372
The Departed,151.0,2006,134869771,434351627
Miami Vice,134.0,2006,202304657,245454755
Just My Luck,103.0,2006,41959484,57184640
Silent Hill,125.0,2006,74927650,146269943
The Contract,96.0,2006,37463825,8315770
Hood of Horror,84.0,2006,7492765,38812
Bamako,115.0,2006,2997106,166339
Tristan & Isolde,125.0,2006,46455143,41959484
Special,81.0,2006,1498553,10792
Varalaru,157.0,2006,749276,749276
300,117.0,2006,97405946,633304119
Goya's Ghosts,114.0,2006,74927650,14158451
Seraphim Falls,115.0,2006,26973954,1792729
Ten Canoes,90.0,2006,2997106,449565
Southland Tales,144.0,2006,25475401,561572
Babel,143.0,2006,37463825,202799452
'N Beetje Verliefd,83.0,2006,1198842,1447922
Winter Passing,98.0,2006,5244935,170509
Stranger Than Fiction,113.0,2006,44956590,80402200
World Trade Center,128.0,2006,94408840,244183061
Night at the Museum,108.0,2006,164840832,860889998
Talladega Nights: The Ballad of Ricky Bobby,116.0,2006,108645093,244213456
Scoop,96.0,2006,5994212,47331648
Snakes on a Plane,105.0,2006,49452249,92943276
Monster House,91.0,2006,112391476,210059678
